spider ID,sex,age,size_mm,weight_g,measurements taken by
N01,female,adult,11.2,3.26,Zita Roithmair
N02,male,penultimate,7.5,0.98,Zita Roithmair
N03,female,adult,10.5,5.38,Zita Roithmair
N04,NA,juvenile,9.5,1.33,Zita Roithmair
N05,NA,juvenile,6,0.58,Zita Roithmair
N06,female,penultimate,9.5,1.44,Zita Roithmair
N07,NA,juvenile,8.5,1.27,Zita Roithmair
N08,male,adult,9,1.34,Zita Roithmair
N09,female,adult,10,3.01,Zita Roithmair
N10,male,adult,10,2.01,Zita Roithmair
N11,female,adult,10,3.29,Zita Roithmair
N12,female,adult,9.5,3.49,Zita Roithmair
N13,male,adult,8,1.69,Zita Roithmair
N14,female,penultimate,9,1.5,Zita Roithmair
N15,NA,juvenile,8.5,1.05,Zita Roithmair
N16,female,adult,10.5,5.05,Zita Roithmair
N17,male,penultimate,7,1.28,Zita Roithmair
N18,female,adult,10,3.28,Zita Roithmair
N19,female,adult,10,3.49,Zita Roithmair
N20,female,penultimate,9,1.79,Zita Roithmair
N21,male,adult,7.5,1.04,Zita Roithmair
N22,female,adult,13,5.47,Zita Roithmair
N23,male,adult,10,1.86,Zita Roithmair
N24,male,penultimate,9,1.21,Zita Roithmair
N25,NA,juvenile,9.5,1.43,Zita Roithmair
N26,male,penultimate,9.2,1.59,Zita Roithmair
N27,male,adult,6.8,1.05,Zita Roithmair
N28,male,penultimate,8,1.53,Zita Roithmair
N29,male,adult,9.5,1.68,Zita Roithmair
N30,male,adult,9.8,1.62,Zita Roithmair
N31,male,adult,9,1.48,Zita Roithmair
N32,male,adult,9,1.4,Zita Roithmair
N33,NA,juvenile,6,0.36,Zita Roithmair
N34,male,adult,9.8,2.16,Zita Roithmair
N35,male,adult,8.5,0.99,Zita Roithmair
N36,female,adult,9,1.46,Zita Roithmair
N37,male,adult,9,1.33,Zita Roithmair
N38,male,adult,9.5,1.63,Zita Roithmair
N39,male,adult,8.1,1.38,Zita Roithmair
N40,female,penultimate,10.3,2.73,Zita Roithmair
N41,male,adult,9.2,1.2,Zita Roithmair
N42,male,adult,7.9,1.88,Zita Roithmair
N43,NA,juvenile,10,2.24,Zita Roithmair
N44,female,penultimate,9.5,1.74,Zita Roithmair
N45,male,adult,8,1.4,Zita Roithmair
N46,male,adult,8.9,1.22,Zita Roithmair
N47,male,adult,9.9,1.76,Zita Roithmair
N48,male,adult,9.8,1.62,Zita Roithmair
N49,female,penultimate,9.5,1.65,Zita Roithmair
N50,male,penultimate,6.5,0.75,Zita Roithmair
N51,male,adult,8.5,1.65,Zita Roithmair
N52,male,adult,8,1.55,Zita Roithmair
N53,NA,juvenile,7,1.11,Zita Roithmair
N54,NA,juvenile,9.1,1.57,Zita Roithmair
N55,male,penultimate,6.5,0.92,Zita Roithmair
N56,male,adult,8.3,1.44,Zita Roithmair
N57,female,adult,10.1,4.26,Zita Roithmair
N58,male,adult,10,1.66,Zita Roithmair
N59,female,adult,12.3,NA,Zita Roithmair
N60,male,adult,7.2,1.09,Zita Roithmair
N61,male,adult,9.8,1.49,Zita Roithmair
N62,male,adult,10.7,2.13,Zita Roithmair
N63,NA,juvenile,6,0.65,Zita Roithmair
N64,female,penultimate,7.5,1.58,Zita Roithmair
N65,female,penultimate,9.8,2.02,Zita Roithmair
N66,female,adult,11.1,3.55,Zita Roithmair
N67,male,adult,8.5,0.9,Zita Roithmair
N68,male,adult,10.3,2.03,Zita Roithmair
N69,male,penultimate,8.9,1.26,Zita Roithmair
N70,male,adult,9.3,1.82,Zita Roithmair
N71,male,adult,8.5,1.12,Zita Roithmair
N72,male,adult,10,1.44,Zita Roithmair
N73,male,adult,9.1,1.36,Zita Roithmair
N74,male,adult,10.2,1.87,Zita Roithmair
N75,male,adult,8.8,1.2,Zita Roithmair
N76,female,adult,11,NA,Zita Roithmair
N77,male,adult,7.8,1.13,Zita Roithmair
N78,male,adult,8.9,1.2,Zita Roithmair
N79,male,adult,9,1.6,Zita Roithmair
N80,NA,juvenile,6.5,0.79,Zita Roithmair
N81,NA,juvenile,7.9,1.32,Zita Roithmair
N82,male,adult,8.6,1.5,Zita Roithmair
N83,male,penultimate,7.1,1.14,Zita Roithmair
N84,male,adult,10.7,2.65,Zita Roithmair
N85,male,adult,8.9,1.34,Zita Roithmair
N86,male,adult,8.3,1.07,Zita Roithmair
N87,NA,juvenile,5.1,0.49,Zita Roithmair
N88,male,adult,9.8,1.4,Zita Roithmair
N89,male,adult,10.2,1.9,Zita Roithmair
N90,male,adult,8,1.05,Zita Roithmair
N91,male,adult,9.1,1.52,Zita Roithmair
N92,NA,juvenile,5.2,0.37,Zita Roithmair
N93,male,adult,9.2,1.4,Zita Roithmair
N94,female,penultimate,9.4,1.59,Zita Roithmair
N95,male,adult,8.1,1.21,Zita Roithmair
N96,NA,juvenile,6.5,0.52,Zita Roithmair
N97,male,adult,10,1.6,Zita Roithmair
N98,female,penultimate,7.9,1.24,Zita Roithmair
N99,male,penultimate,8,1.39,Zita Roithmair
N100,NA,juvenile,7,0.72,Zita Roithmair
N101,NA,juvenile,4,0.39,Zita Roithmair
N103,male,adult,8.4,1.27,Zita Roithmair
N104,female,adult,11.2,2.92,Zita Roithmair
N105,female,penultimate,9,1.05,Zita Roithmair
N106,male,adult,9.5,1.44,Zita Roithmair
N107,female,adult,11.1,2.45,Zita Roithmair
N108,female,adult,11,2.88,Zita Roithmair
